Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:34:15 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.32    0.00    6.66    9.75    0.00   80.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdap              0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    3.40    0.00    3.40   2.60   0.43
dm-19             0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    3.40    0.00    3.40   2.60   0.43
sdaq              0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    3.82    0.00    3.82   2.82   1.03
dm-20             0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    4.00    0.00    4.00   2.91   1.07
sdar              0.00     0.00    0.00    2.00     0.00     0.02    16.00     0.01    3.67    0.00    3.67   3.00   0.60
dm-21             0.00     0.00    0.00    2.00     0.00     0.02    16.00     0.01    4.00    0.00    4.00   3.33   0.67
sdas              0.00     0.00    0.00    1.00     0.00     0.02    32.00     0.00    4.00    0.00    4.00   4.00   0.40
dm-22             0.00     0.00    0.00    1.00     0.00     0.02    32.00     0.00    4.00    0.00    4.00   4.00   0.40
sdat              0.00     0.00    0.00   12.67     0.00     0.08    13.16     0.05    3.63    0.00    3.63   3.47   4.40
dm-23             0.00     0.00    0.00   12.67     0.00     0.08    13.16     0.05    3.66    0.00    3.66   3.47   4.40
sdau              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-24             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

02/17/2020 09:34:21 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.32    0.00    1.59    0.03    0.00   97.06

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.10    0.08    3.00   1.10   0.73
sdc               0.00     0.00    0.00   29.33     0.00     0.21    14.73     0.87   29.56    0.00   29.56   1.59   4.67
sde               0.00     0.00    0.33    4.33     0.00     0.03    15.43     0.01    2.86    0.00    3.08   2.07   0.97
sdg               0.00     0.00    0.33    3.00     0.00     0.02    15.20     0.01    2.80    0.00    3.11   2.10   0.70
sdf               0.00     0.00    0.33    3.33     0.00     0.03    15.27     0.01    3.09    0.00    3.40   2.00   0.73
sdi               0.00     0.00    1.67    4.00     0.02     0.04    21.18     0.01    2.24    0.40    3.00   1.94   1.10
sdh               0.00     0.00    0.33    2.33     0.00     0.02    17.00     0.01    2.62    0.00    3.00   2.50   0.67
sdj               0.00     0.00    0.33    1.33     0.00     0.01    14.40     0.00    2.40    0.00    3.00   1.80   0.30
sdk               0.00     0.00    0.33    2.33     0.00     0.02    15.00     0.01    2.75    1.00    3.00   2.25   0.60
sdl               0.00     0.00    0.33    3.00     0.00     0.02    15.20     0.01    2.80    0.00    3.11   1.90   0.63
sdn               0.00     0.00    0.33    4.00     0.00     0.03    15.38     0.01    2.85    0.00    3.08   2.15   0.93
sdp               0.00     0.00    0.33    2.67     0.00     0.02    15.11     0.01    2.78    1.00    3.00   2.33   0.70
sdo               0.00     0.00    1.33    2.00     0.02     0.02    20.00     0.01    1.90    0.00    3.17   1.30   0.43
sdr               0.00     0.00    0.33    1.67     0.00     0.01    14.67     0.01    2.67    0.00    3.20   2.17   0.43
sdq               0.00     0.00    0.67    1.67     0.01     0.01    17.14     0.01    2.14    0.00    3.00   2.14   0.50
sds               0.00     0.00    0.33    2.00     0.00     0.02    14.86     0.01    2.86    1.00    3.17   2.86   0.67
sdv               0.00     0.00    2.67    2.33     0.04     0.02    22.93     0.01    1.53    0.38    2.86   1.07   0.53
sdt               0.00     0.00    0.33    6.00     0.00     0.01     4.32     0.02    2.74    0.00    2.89   2.74   1.73
sdw               0.00     0.00    0.67    0.00     0.00     0.00     4.50     0.00    0.00    0.00    0.00   0.00   0.00
sdm               0.00     0.00    0.33    3.33     0.00     0.02    14.55     0.01    3.00    0.00    3.30   2.18   0.80
sdu               0.00     0.00    0.33   11.00     0.00     0.03     5.29     0.03    2.88    0.00    2.97   2.88   3.27
sda               0.00     0.00    0.00    4.33     0.00     0.02    11.69     0.02    4.00    0.00    4.00   1.85   0.80
dm-0              0.00     0.00    0.00   29.33     0.00     0.21    14.73     0.87   29.56    0.00   29.56   1.59   4.67
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.00    0.00    3.00   3.00   0.40
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.00    0.00    3.00   3.00   0.40
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    3.30    0.00    3.30   2.60   0.87
dm-4              0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    3.40    0.00    3.40   2.70   0.90
sdab              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.44    0.50    3.33   1.44   0.43
dm-5              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.56    0.67    3.33   1.56   0.47
sdac              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdad              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.56    0.50    3.67   1.56   0.47
dm-7              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.50    4.00   1.67   0.50
sdae              0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    4.00    0.00    4.00   3.60   0.60
dm-8              0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    4.00    0.00    4.00   3.60   0.60
sdaf              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.71    0.00    3.71   2.00   0.47
dm-9              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.71    0.00    3.71   2.00   0.47
sdag              0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    3.55    0.00    3.55   2.64   0.97
dm-10             0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    3.91    0.00    3.91   2.73   1.00
sdah              0.00     0.00    0.00    1.67     0.00     0.02    19.20     0.01    4.20    0.00    4.20   3.20   0.53
dm-11             0.00     0.00    0.00    1.67     0.00     0.02    19.20     0.01    4.20    0.00    4.20   3.20   0.53
sdai              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.57    0.00    3.57   3.29   0.77
dm-12             0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.86    0.00    3.86   3.57   0.83
sdaj              0.00     0.00    0.00    4.67     0.00     0.04    16.00     0.02    3.79    0.00    3.79   2.00   0.93
dm-13             0.00     0.00    0.00    4.67     0.00     0.04    16.00     0.02    3.86    0.00    3.86   2.07   0.97
sdak              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.43    0.00    3.43   2.71   0.63
dm-14             0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.43    0.00    3.43   2.71   0.63
sdal              0.00     0.00    0.00    2.00     0.00     0.02    16.00     0.01    3.67    0.00    3.67   3.17   0.63
dm-15             0.00     0.00    0.00    2.00     0.00     0.02    16.00     0.01    3.67    0.00    3.67   3.17   0.63
sdam              0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.62    0.00    3.62   2.75   0.73
dm-16             0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.62    0.00    3.62   2.75   0.73
sdan              0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.50    0.00    3.50   3.25   0.43
dm-17             0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.50    0.00    3.50   3.25   0.43
sdao              0.00     0.00    0.00    4.00     0.00     0.03    16.00     0.01    3.75    0.00    3.75   2.42   0.97
dm-18             0.00     0.00    0.00    4.00     0.00     0.03    16.00     0.01    3.75    0.00    3.75   2.42   0.97
sdap              0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    4.00    0.00    4.00   2.90   0.97
dm-19             0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    4.00    0.00    4.00   2.90   0.97
sdaq              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.43    0.00    3.43   2.57   0.60
dm-20             0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.57    0.00    3.57   2.71   0.63
sdar              0.00     0.00    0.00    3.67     0.00     0.03    17.45     0.01    3.55    0.00    3.55   1.82   0.67
dm-21             0.00     0.00    0.00    3.67     0.00     0.03    17.45     0.01    3.64    0.00    3.64   1.82   0.67
sdas              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
dm-22             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
sdat              0.00     0.00    0.00    5.67     0.00     0.01     3.88     0.02    3.29    0.00    3.29   3.29   1.87
dm-23             0.00     0.00    0.00    5.67     0.00     0.01     3.88     0.02    3.29    0.00    3.29   3.29   1.87
sdau              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-24             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

02/17/2020 09:34:24 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.31    0.00    1.54    0.18    0.00   96.98

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00  104.33    2.33     0.46     0.00     8.96     0.02    0.18    0.12    3.14   0.18   1.93
sdc               0.00     0.00    0.00   11.67     0.00     0.13    23.31     0.04    3.37    0.00    3.37   1.17   1.37
sde               0.00     0.00   88.67    2.33     0.35     0.02     8.21     0.01    0.16    0.08    3.14   0.15   1.37
sdg               0.00     0.00   88.33    2.33     0.35     0.02     8.21     0.02    0.18    0.11    3.00   0.17   1.57
sdf               0.00     0.00   88.33    1.33     0.35     0.01     8.12     0.01    0.13    0.09    3.25   0.13   1.20
sdi               0.00     0.00   89.33    1.67     0.36     0.02     8.59     0.01    0.14    0.08    3.00   0.13   1.17
