Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 08:38:48 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.63    0.00    4.95   10.44    0.00   81.98

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    0.33    0.33     0.00     0.01    20.00     0.00    3.50    3.00    4.00   3.50   0.23
dm-14             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
sdag              0.00     0.00    2.33    0.67     0.00     0.00     1.78     0.01    1.67    1.00    4.00   1.89   0.57
dm-15             0.00     0.00    2.00    0.67     0.00     0.00     1.00     0.01    1.88    1.00    4.50   2.12   0.57
sdah              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-16             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdai              0.00     0.00    0.33    0.33     0.00     0.01    20.00     0.00    3.00    1.00    5.00   3.00   0.20
dm-17             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    5.00    0.00    5.00   5.00   0.17
sdaj              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-18             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdak              0.00     0.00    0.33    3.67     0.00     0.00     2.75     0.02    4.33    0.00    4.73   3.00   1.20
dm-19             0.00     0.00    0.00    3.67     0.00     0.00     2.27     0.02    4.73    0.00    4.73   3.27   1.20

02/12/2020 08:38:57 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           5.15    0.00    5.37    4.19    0.00   85.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00    6.67     0.00     0.08    23.20     0.03    3.75    0.00    3.75   2.30   1.53
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    1.67   67.33     0.01     1.44    42.93     0.43    6.10    0.20    6.25   1.49  10.30
sdd               0.00     0.00    6.33    2.33     0.01     0.00     2.62     0.01    0.88    0.11    3.00   0.88   0.77
sdf               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.00    0.67    0.20    3.00   0.67   0.13
sdg               0.00     0.00    2.00    1.33     0.01     0.02    20.00     0.00    1.40    0.17    3.25   1.40   0.47
sdh               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    2.50    2.40    3.00   2.50   0.50
sdi               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    2.50    2.40    3.00   2.50   0.50
sdj               0.00     0.00 1949.00  470.00    15.13     3.89    16.10     9.72    3.99    4.06    3.67   0.06  15.67
sdk               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.20    2.20    0.00   2.20   0.37
sdl               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.20    2.20    0.00   2.20   0.37
sdq               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.40    2.40    0.00   2.40   0.40
sdp               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.20    2.20    0.00   2.20   0.37
sdo               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.80    2.80    0.00   2.80   0.47
sdn               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.60    2.60    0.00   2.60   0.43
sdm               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    2.50    2.40    3.00   2.50   0.50
sdr               0.00     0.00    1.67    0.00     0.01     0.00     8.00     0.00    2.80    2.80    0.00   2.80   0.47
sda               0.00     0.00    0.00    5.33     0.00     0.04    16.00     0.04    8.19    0.00    8.19   3.00   1.60
dm-0              0.00     0.00    0.00    6.67     0.00     0.08    23.20     0.02    3.70    0.00    3.70   2.25   1.50
sds               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdt               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdu               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.11    1.00    4.33   2.11   0.63
dm-4              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.22    1.17    4.33   2.22   0.67
sdw               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdab              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdac              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-11             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdad              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-12             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdae              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    0.00    1.67     0.00     0.03    32.00     0.01    6.40    0.00    6.40   6.40   1.07
dm-14             0.00     0.00    0.00    1.67     0.00     0.03    32.00     0.01    6.80    0.00    6.80   6.80   1.13
sdag              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.11    1.17    4.00   1.89   0.57
dm-15             0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.11    1.17    4.00   1.89   0.57
sdah              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    7.00    0.00    7.00   7.00   0.23
dm-16             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    7.00    0.00    7.00   7.00   0.23
sdai              0.00     0.00    0.00    1.33     0.00     0.02    32.00     0.01    4.50    0.00    4.50   4.50   0.60
